,Days,Precision
0,6.0,0.5
1,7.0,0.5
2,8.0,0.4666666666666667
3,9.0,0.5
4,10.0,0.48148148148148145
5,11.0,0.48148148148148145
6,12.0,0.5
7,13.0,0.56
8,14.0,0.5555555555555556
9,15.0,0.5714285714285714
10,16.0,0.5769230769230769
11,17.0,0.625
12,18.0,0.625
13,19.0,0.6086956521739131
14,20.0,0.5652173913043478
15,21.0,0.5652173913043478
16,22.0,0.6190476190476191
17,23.0,0.5714285714285714
18,24.0,0.631578947368421
19,25.0,0.5789473684210527
20,26.0,0.6
21,27.0,0.5625
22,28.0,0.5882352941176471
23,29.0,0.7058823529411765
24,30.0,0.7058823529411765
25,31.0,0.631578947368421
26,32.0,0.6111111111111112
27,33.0,0.6111111111111112
28,34.0,0.6470588235294118
29,35.0,0.6470588235294118
30,36.0,0.6470588235294118
31,37.0,0.6
32,38.0,0.5789473684210527
33,39.0,0.55
34,40.0,0.55
35,41.0,0.55
36,42.0,0.5789473684210527
37,43.0,0.5263157894736842
38,44.0,0.55
39,45.0,0.55
40,46.0,0.55
41,47.0,0.5454545454545454
42,48.0,0.5238095238095238
